PASS  stage003_021_foundational_stress  (updated, 0s)
PASS  stage045_048_stress  (updated, 0s)
PASS  stage058_170_foundational_stress  (updated, 0s)
PASS  stage106_canonical_outgoing_stress  (updated, 0s)
PASS  stage125_positive_source_stress  (updated, 1s)
PASS  stage142_144_mouth_branch_stress  (updated, 0s)
PASS  stage146_148_rigidity_stress  (updated, 2s)
PASS  stage150_152_profile_correction_stress  (updated, 2s)
PASS  stage154_coevolving_map_stress  (updated, 0s)
PASS  stage155_156_fixedpoint_stress  (updated, 1s)
PASS  stage157_core_mouth_coevolution_status_stress  (updated, 1s)
PASS  stage185_187_orbit_stress  (updated, 0s)
PASS  stage248_event_chain_stress  (updated, 3s)
PASS  stage253_material_threshold_stress  (updated, 0s)

TOTAL: 14  PASS: 14  FAIL: 0  SKIPPED: 1  MODE: update
