axis	key	record	old_text	new_text
A1_DECLARATION	a	sourced_dims.a	    a: Dim(1, 0, 0),	    a: Dim(13, -7, 5),
A1_DECLARATION	c_s	sourced_dims.c_s	    c_s: Dim(1, 0, -1),	    c_s: Dim(13, -7, 5),
A1_DECLARATION	omega	sourced_dims.omega	    omega: Dim(0, 0, -1),	    omega: Dim(13, -7, 5),
A1_DECLARATION	M0	sourced_dims.M0	    M0: Dim(0, 1, -1),	    M0: Dim(13, -7, 5),
A1_DECLARATION	D1	sourced_dims.D1	    D1: Dim(1, 1, -1),	    D1: Dim(13, -7, 5),
A1_DECLARATION	R0	sourced_dims.R0	    R0: Dim(0, 1, -1),	    R0: Dim(13, -7, 5),
A1_DECLARATION	R1	sourced_dims.R1	    R1: Dim(1, 1, -1),	    R1: Dim(13, -7, 5),
A1_DECLARATION	D0	sourced_dims.D0	    D0: Dim(-1, 1, -2),	    D0: Dim(13, -7, 5),
A1_DECLARATION	K0c	sourced_dims.K0c	    K0c: Dim(0, 1, -2),	    K0c: Dim(13, -7, 5),
A1_DECLARATION	Keta	sourced_dims.K_eta	    Keta: Dim(0, 1, -2),	    Keta: Dim(13, -7, 5),
A1_DECLARATION	TOmega	sourced_dims.T_Omega	    TOmega: Dim(0, 1, -2),	    TOmega: Dim(13, -7, 5),
A1_DECLARATION	Z0ret	sourced_dims.Z0_ret	    Z0ret: Dim(0, 1, -2),	    Z0ret: Dim(13, -7, 5),
A1_DECLARATION	Z1ret	sourced_dims.Z1_ret	    Z1ret: Dim(0, 1, -2),	    Z1ret: Dim(13, -7, 5),
A1_DECLARATION	OmegaU	sourced_dims.Omega_U	    OmegaU: Dim(0, 0, -1),	    OmegaU: Dim(13, -7, 5),
A1_DECLARATION	OmegaW	sourced_dims.Omega_W	    OmegaW: Dim(0, 0, -1),	    OmegaW: Dim(13, -7, 5),
A1_DECLARATION	Rmix	sourced_dims.R_mix	    Rmix: Dim(0, 0, -2),	    Rmix: Dim(13, -7, 5),
A1_DECLARATION	gU	sourced_dims.g_U	    gU: Dim(sp.Rational(-1, 2), sp.Rational(1, 2), -2),	    gU: Dim(13, -7, 5),
A1_DECLARATION	gW	sourced_dims.g_W	    gW: Dim(sp.Rational(-1, 2), sp.Rational(1, 2), -2),	    gW: Dim(13, -7, 5),
