axis	key	record	stage_exit	pass_count	fail_count	first_fail	sidecar_written	record_moved	emitted_value	cmp_exit	cmp_status	mismatch_names
A1_DECLARATION	a	sourced_dims.a	1	22	1	FAIL  selector control reaches CROSS_L_RESIDUAL_PREDICTION: residual = 1	no	no_sidecar		2	NO_RESULT_LINE	none
A1_DECLARATION	c_s	sourced_dims.c_s	1	22	1	FAIL  selector control reaches CROSS_L_RESIDUAL_PREDICTION: residual = 1	no	no_sidecar		2	NO_RESULT_LINE	none
A1_DECLARATION	omega	sourced_dims.omega	1	22	1	FAIL  selector control reaches CROSS_L_RESIDUAL_PREDICTION: residual = 1	no	no_sidecar		2	NO_RESULT_LINE	none
A1_DECLARATION	M0	sourced_dims.M0	1	22	1	FAIL  selector control reaches CROSS_L_RESIDUAL_PREDICTION: residual = 1	no	no_sidecar		2	NO_RESULT_LINE	none
A1_DECLARATION	D1	sourced_dims.D1	1	22	1	FAIL  selector control reaches CROSS_L_RESIDUAL_PREDICTION: residual = 1	no	no_sidecar		2	NO_RESULT_LINE	none
A1_DECLARATION	R0	sourced_dims.R0	0	111	0		yes	yes	{13, -7, 5}	1	FAIL	sourced_dims.R0
A1_DECLARATION	R1	sourced_dims.R1	0	111	0		yes	yes	{13, -7, 5}	1	FAIL	sourced_dims.R1
A1_DECLARATION	D0	sourced_dims.D0	1	22	1	FAIL  selector control reaches CROSS_L_RESIDUAL_PREDICTION: residual = 1	no	no_sidecar		2	NO_RESULT_LINE	none
A1_DECLARATION	K0c	sourced_dims.K0c	1	23	1	FAIL  baseline reaches earned FAIL_UNDERDETERMINED_NOT_PREDICTIVE: residual = 1	no	no_sidecar		2	NO_RESULT_LINE	none
A1_DECLARATION	Keta	sourced_dims.K_eta	1	23	1	FAIL  baseline reaches earned FAIL_UNDERDETERMINED_NOT_PREDICTIVE: residual = 1	no	no_sidecar		2	NO_RESULT_LINE	none
