mode,kind,case,eta_peak,yg,sigma,seed,jitter,t_onset_curl,t_onset_div,jc_ratio,jd_ratio,Deta_int,Deta_target,Deta_err,eff_curl,eff_div,Tmax
fixed,OFF,OFF,0.0,0.0,1.2,1,0.02,7.0,6.6000000000000005,1.0,1.0,0.0,nan,nan,nan,nan,12.0
match,REF,ref_match_yg0_sig1.2,0.012,0.0,1.2,1,0.02,8.3,7.45,0.3348272024400678,0.7952176474975106,0.0030718128514116857,nan,nan,216.54079520314679,66.66498332031505,12.0
match,RUN,match_yg0_sig1.2,0.012,0.0,1.2,1,0.02,8.3,7.45,0.3348272024400678,0.7952176474975106,0.0030718128514116857,0.0030718128514116857,0.0,216.54079520314679,66.66498332031505,12.0
match,RUN,match_yg6_sig1.2_ep0.0485,0.0485,6.0,1.2,1,0.02,9.05,8.2,0.1692508380020417,0.6457614077998416,0.003045254263294587,0.0030718128514116857,-2.6558588117098735e-05,272.80124750541876,116.32479969568001,12.0
match,RUN,match_yg11_sig1.2_ep0.00345313,0.003453125,11.0,1.2,1,0.02,8.15,8.0,0.5481465711638327,0.734936802775677,0.0030884770254927738,0.0030718128514116857,1.6664174081088088e-05,146.3029917679485,85.82326986292915,12.0
fixed,OFF,OFF,0.0,0.0,1.2,1,0.03,6.9,6.6000000000000005,1.0,1.0,0.0,nan,nan,nan,nan,12.0
match,REF,ref_match_yg0_sig1.2,0.012,0.0,1.2,1,0.03,8.6,7.45,0.29842542103529984,0.8115613279355433,0.0030651707172759564,nan,nan,228.8859719983869,61.477382320787605,12.0
match,RUN,match_yg0_sig1.2,0.012,0.0,1.2,1,0.03,8.6,7.45,0.29842542103529984,0.8115613279355433,0.0030651707172759564,0.0030651707172759564,0.0,228.8859719983869,61.477382320787605,12.0
match,RUN,match_yg6_sig1.2_ep0.0485,0.0485,6.0,1.2,1,0.03,9.200000000000001,8.2,0.15056139698025017,0.515910429822282,0.003036340949942863,0.0030651707172759564,-2.8829767333093514e-05,279.75731876742447,159.4318879725373,12.0
match,RUN,match_yg11_sig1.2_ep0.00345313,0.003453125,11.0,1.2,1,0.03,8.3,8.15,0.47165781376346816,0.7318907432555418,0.003107866322778972,0.0030651707172759564,4.2695605503015495e-05,170.00158030095136,86.26795006572934,12.0
fixed,OFF,OFF,0.0,0.0,1.2,2,0.02,5.8,5.4,1.0,1.0,0.0,nan,nan,nan,nan,12.0
